input_file,input_bytes,encoded_bytes,mutated_bytes,decoded_bytes,mutation_spec,total_units,affected_units,measured_rate,seed,encode_time_sec,mutate_time_sec,decode_time_sec,encode_exit,mutate_exit,decode_exit,bit_perfect
"teste.jpg",201059,920080,920080,201059,0.0005,,,,"12345",0.045000,0.094000,0.072000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.0005,,,,"23456",0.059000,0.099000,0.073000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.0005,,,,"34567",0.046000,0.095000,0.081000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.001,,,,"12345",0.057000,0.091000,0.087000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.001,,,,"23456",0.045000,0.097000,0.093000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.001,,,,"34567",0.045000,0.090000,0.079000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.002,,,,"12345",0.045000,0.098000,0.090000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.002,,,,"23456",0.060000,0.095000,0.100000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.002,,,,"34567",0.044000,0.090000,0.091000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.0,,,,"12345",7.696000,23.519000,13.101000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.0,,,,"54321",7.557000,23.472000,13.077000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.00001,,,,"12345",7.564000,23.324000,13.261000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.00001,,,,"54321",7.711000,23.323000,13.328000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.00002,,,,"12345",7.563000,23.340000,13.335000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.00002,,,,"54321",7.629000,23.824000,13.307000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.00005,,,,"12345",7.665000,24.878000,13.711000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.00005,,,,"54321",7.970000,23.276000,13.595000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.0001,,,,"12345",7.713000,23.327000,14.048000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.0001,,,,"54321",7.714000,23.376000,14.411000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.0002,,,,"12345",7.728000,28.060000,17.078000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.0002,,,,"54321",8.637000,27.275000,16.640000,0,0,0,1
"teste.jpg",201059,920080,920080,196686,0.005,,,,"12345",0.067000,0.094000,0.098000,0,0,1,0
"teste.jpg",201059,920080,920080,14941,0.005,,,,"23456",0.048000,0.091000,0.026000,0,0,1,0
"teste.jpg",201059,920080,920080,201059,0.005,,,,"34567",0.049000,0.090000,0.107000,0,0,0,1
"teste.jpg",201059,920080,920080,892,0.01,,,,"12345",0.045000,0.101000,0.022000,0,0,1,0
"teste.jpg",201059,920080,920080,446,0.01,,,,"23456",0.047000,0.240000,0.023000,0,0,1,0
"teste.jpg",201059,920080,920080,4460,0.01,,,,"34567",0.053000,0.090000,0.023000,0,0,1,0
"teste.jpg",201059,920080,920080,0,0.02,,,,"12345",0.044000,0.101000,0.022000,0,0,1,0
"teste.jpg",201059,920080,920080,0,0.02,,,,"23456",0.046000,0.093000,0.023000,0,0,1,0
"teste.jpg",201059,920080,920080,0,0.02,,,,"34567",0.049000,0.097000,0.023000,0,0,1,0
"teste.exe",67569220,309061060,309061060,67569220,0.0005,,,,"12345",7.762000,27.284000,19.038000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.0005,,,,"54321",8.799000,26.925000,20.720000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.001,,,,"12345",8.504000,27.345000,21.753000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.001,,,,"54321",7.915000,28.746000,19.802000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.002,,,,"12345",7.886000,24.130000,21.675000,0,0,0,1
"teste.exe",67569220,309061060,309061060,19479719,0.002,,,,"54321",7.888000,23.559000,6.302000,0,0,1,0
"teste02.txt",31,1060,1060,31,0.01,1020,11,0.010784,"12345",0.073000,0.025000,0.041000,0,0,0,1
"teste02.txt",31,1060,1060,31,0.01,1020,8,0.007843,"23456",0.021000,0.022000,0.025000,0,0,0,1
"teste02.txt",31,1060,1060,-1,0.01,1020,16,0.015686,"34567",0.023000,0.024000,0.030000,0,0,1,0
"teste02.txt",31,1060,1060,-1,0.02,1020,28,0.027451,"12345",0.026000,0.024000,0.024000,0,0,1,0
"teste02.txt",31,1060,1060,31,0.02,1020,12,0.011765,"23456",0.024000,0.021000,0.026000,0,0,0,1
"teste02.txt",31,1060,1060,-1,0.02,1020,19,0.018627,"34567",0.022000,0.032000,0.025000,0,0,1,0
"teste.txt",124,1060,1060,124,0.01,1020,11,0.010784,"12345",0.028000,0.022000,0.024000,0,0,0,1
"teste.txt",124,1060,1060,124,0.01,1020,8,0.007843,"23456",0.021000,0.023000,0.027000,0,0,0,1
"teste.txt",124,1060,1060,-1,0.01,1020,15,0.014706,"34567",0.022000,0.021000,0.025000,0,0,1,0
"teste.txt",124,1060,1060,-1,0.02,1020,29,0.028431,"12345",0.020000,0.020000,0.032000,0,0,1,0
"teste.txt",124,1060,1060,124,0.02,1020,12,0.011765,"23456",0.024000,0.022000,0.026000,0,0,0,1
"teste.txt",124,1060,1060,-1,0.02,1020,19,0.018627,"34567",0.022000,0.021000,0.025000,0,0,1,0
"teste.jpg",201059,920080,920080,201059,0.002,920040,1863,0.002025,"12345",0.051000,0.097000,0.149000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.002,920040,1811,0.001968,"23456",0.049000,0.090000,0.137000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.002,920040,1821,0.001979,"34567",0.058000,0.093000,0.139000,0,0,0,1
"teste.jpg",201059,920080,920080,201059,0.005,920040,4681,0.005088,"12345",0.056000,0.097000,0.148000,0,0,0,1
"teste.jpg",201059,920080,920080,-1,0.005,920040,4561,0.004957,"23456",0.047000,0.099000,0.102000,0,0,1,0
"teste.jpg",201059,920080,920080,-1,0.005,920040,4600,0.005000,"34567",0.062000,0.091000,0.158000,0,0,1,0
"teste.exe",67569220,309061060,309061060,67569220,0.00001,309061020,3146,0.000010,"12345",8.448000,23.692000,29.858000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.00001,309061020,3080,0.000010,"54321",9.117000,23.892000,29.500000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.00002,309061020,6237,0.000020,"12345",8.345000,24.731000,35.391000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.00002,309061020,6192,0.000020,"54321",9.557000,25.149000,31.673000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.0002,309061020,61691,0.000200,"12345",9.423000,23.852000,31.155000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.0002,309061020,61376,0.000199,"54321",8.430000,23.935000,31.366000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.002,309061020,617910,0.001999,"12345",8.780000,23.898000,38.004000,0,0,0,1
"teste.exe",67569220,309061060,309061060,67569220,0.002,309061020,617968,0.002000,"54321",8.495000,23.861000,37.991000,0,0,0,1
"teste.txt",124,1085,1085,124,0.01,1020,11,0.010784,"12345",0.071000,0.157000,0.196000,0,0,0,1
"teste02.txt",31,1085,1085,31,0.01,1020,11,0.010784,"12345",0.028000,0.024000,0.025000,0,0,0,1
"teste02.txt",31,1085,1085,31,0.01,1020,8,0.007843,"23456",0.022000,0.022000,0.025000,0,0,0,1
"teste02.txt",31,1085,1085,31,0.01,1020,16,0.015686,"34567",0.028000,0.073000,0.027000,0,0,0,1
"teste02.txt",31,1085,1085,-1,0.02,1020,29,0.028431,"12345",0.022000,0.021000,0.024000,0,0,1,0
"teste02.txt",31,1085,1085,31,0.02,1020,12,0.011765,"23456",0.023000,0.021000,0.025000,0,0,0,1
"teste02.txt",31,1085,1085,-1,0.02,1020,20,0.019608,"34567",0.024000,0.022000,0.028000,0,0,1,0
"teste.txt",124,1085,1085,124,0.01,1020,11,0.010784,"12345",0.070000,0.022000,0.022000,0,0,0,1
"teste.txt",124,1085,1085,124,0.01,1020,8,0.007843,"23456",0.024000,0.021000,0.026000,0,0,0,1
"teste.txt",124,1085,1085,-1,0.01,1020,16,0.015686,"34567",0.024000,0.022000,0.027000,0,0,1,0
"teste.txt",124,1085,1085,-1,0.02,1020,28,0.027451,"12345",0.030000,0.076000,0.026000,0,0,1,0
"teste.txt",124,1085,1085,124,0.02,1020,12,0.011765,"23456",0.022000,0.022000,0.024000,0,0,0,1
"teste.txt",124,1085,1085,-1,0.02,1020,19,0.018627,"34567",0.022000,0.023000,0.029000,0,0,1,0
"teste.jpg",201059,946531,946531,201059,0.002,945540,1899,0.002008,"12345",0.104000,0.091000,0.140000,0,0,0,1
"teste.jpg",201059,946531,946531,201059,0.002,945540,1866,0.001973,"23456",0.048000,0.143000,0.153000,0,0,0,1
"teste.jpg",201059,946531,946531,201059,0.002,945540,1867,0.001975,"34567",0.047000,0.091000,0.192000,0,0,0,1
"teste.jpg",201059,946531,946531,201059,0.005,945540,4782,0.005057,"12345",0.055000,0.141000,0.206000,0,0,0,1
"teste.jpg",201059,946531,946531,-1,0.005,945540,4718,0.004990,"23456",0.047000,0.182000,0.098000,0,0,1,0
"teste.jpg",201059,946531,946531,201059,0.005,945540,4723,0.004995,"34567",0.047000,0.096000,0.147000,0,0,0,1
"teste.exe",67569220,317918023,317918023,67569220,0.0002,317606580,63452,0.000200,"12345",8.022000,24.125000,31.445000,0,0,0,1
"teste.exe",67569220,317918023,317918023,67569220,0.0002,317606580,63101,0.000199,"54321",8.007000,24.120000,31.435000,0,0,0,1
"teste.exe",67569220,317918023,317918023,67569220,0.002,317606580,635034,0.001999,"12345",8.118000,24.147000,38.232000,0,0,0,1
"teste.exe",67569220,317918023,317918023,67569220,0.002,317606580,635003,0.001999,"54321",8.091000,24.180000,46.800000,0,0,0,1
"teste.txt",124,2122,2122,124,0.01,2040,13,0.006373,"4100",0.045000,0.045000,0.026000,0,0,0,1
"teste.txt",124,2122,2122,-1,0.02,2040,32,0.015686,"4102",0.088000,0.074000,0.121000,0,0,1,0
"teste.txt",124,2122,2122,124,0.01,2040,18,0.008824,"4101",0.104000,0.134000,0.108000,0,0,0,1
"teste.txt",124,2122,2122,-1,0.03,2040,58,0.028431,"4103",0.260000,0.043000,0.074000,0,0,1,0
"teste02.txt",31,2122,2122,31,0.01,2040,19,0.009314,"4201",0.161000,0.040000,0.066000,0,0,0,1
"teste02.txt",31,2122,2122,-1,0.03,2040,60,0.029412,"4203",0.042000,0.039000,0.077000,0,0,1,0
"teste02.txt",31,2122,2122,-1,0.02,2040,45,0.022059,"4202",0.048000,0.076000,0.042000,0,0,1,0
"teste.jpg",201059,1064983,1064983,-1,0.02,1063860,21414,0.020129,"4320",0.207000,0.171000,0.155000,0,0,1,0
"teste.jpg",201059,1064983,1064983,-1,0.01,1063860,10533,0.009901,"4310",0.138000,0.172000,0.159000,0,0,1,0
"teste.jpg",201059,1064983,1064983,201059,0.005,1063860,5241,0.004926,"4305",0.096000,0.167000,0.238000,0,0,0,1
"teste.exe",67569220,357658422,357658422,-1,0.003,357308040,1073649,0.003005,"4403",8.104000,28.138000,20.302000,0,0,1,0
"teste.exe",67569220,357658422,357658422,67569220,0.001,357308040,358050,0.001002,"4401",8.182000,28.080000,39.189000,0,0,0,1
"teste.exe",67569220,357658422,357658422,67569220,0.002,357308040,714111,0.001999,"4402",8.163000,27.977000,41.946000,0,0,0,1
"teste.jpg",201059,1064983,1064983,-1,"0.005",1063860,5220,0.004907,"5300",0.069000,0.125000,0.136000,0,0,1,0
"teste.txt",124,2122,2122,124,"shuffle",,2,,"5001",0.023000,0.001000,0.023000,0,0,0,1
"teste.txt",124,2122,1101,124,"drop1",,1,,"5002",0.076000,0.001000,0.026000,0,0,0,1
"teste.txt",124,2122,1101,124,"drop_parity",,1,,"5003",0.023000,0.000000,0.024000,0,0,0,1
"teste.jpg",201059,1064983,1064983,201059,"shuffle",,1043,,"5101",0.044000,0.005000,0.073000,0,0,0,1
"teste.jpg",201059,1064983,1063962,201059,"drop1",,1,,"5102",0.044000,0.004000,0.065000,0,0,0,1
"teste.jpg",201059,1064983,1064983,201059,"duplicate_replace",,1,,"5103",0.044000,0.005000,0.065000,0,0,0,1
"teste.jpg",201059,1064983,1063962,201059,"drop_parity",,1,,"5104",0.048000,0.004000,0.080000,0,0,0,1
"teste.jpg",201059,1064983,1062941,-1,"drop2same",,2,,"5105",0.113000,0.004000,0.063000,0,0,1,0
"teste.exe",67569220,357658422,357657401,67569220,"drop1",,1,,"5202",6.923000,0.391000,12.835000,0,0,0,1
"teste.exe",67569220,357658422,357658422,67569220,"duplicate_replace",,1,,"5203",6.816000,0.356000,12.740000,0,0,0,1
